Empacotamento;Porosidade;Numero de Fibras;Area Total de trasferencia
0;1;0;0
0.0091606;0.990839;1;0.314159
0.0183212;0.981679;2;0.628319
0.0274818;0.972518;3;0.942478
0.0366424;0.963358;5;1.5708
0.045803;0.954197;6;1.88496
0.0549636;0.945036;7;2.19911
0.0641242;0.935876;8;2.51327
0.0732848;0.926715;9;2.82743
0.0824454;0.917555;10;3.14159
0.091606;0.908394;12;3.76991
0.100767;0.899233;13;4.08407
0.109927;0.890073;14;4.39823
0.119088;0.880912;15;4.71239
0.128248;0.871752;16;5.02655
0.137409;0.862591;17;5.34071
0.14657;0.85343;19;5.96903
0.15573;0.84427;20;6.28319
0.164891;0.835109;21;6.59734
0.174051;0.825949;22;6.9115
0.183212;0.816788;23;7.22566
0.192373;0.807627;24;7.53982
0.201533;0.798467;26;8.16814
0.210694;0.789306;27;8.4823
0.219854;0.780146;28;8.79646
0.229015;0.770985;29;9.11062
0.238176;0.761824;30;9.42478
0.247336;0.752664;31;9.73894
0.256497;0.743503;33;10.3673
0.265657;0.734343;34;10.6814
0.274818;0.725182;35;10.9956
0.283979;0.716021;36;11.3097
0.293139;0.706861;37;11.6239
0.3023;0.6977;38;11.9381
0.31146;0.68854;40;12.5664
0.320621;0.679379;41;12.8805
0.329782;0.670218;42;13.1947
0.338942;0.661058;43;13.5088
0.348103;0.651897;44;13.823
0.357264;0.642736;45;14.1372
0.366424;0.633576;47;14.7655
0.375585;0.624415;48;15.0796
0.384745;0.615255;49;15.3938
0.393906;0.606094;50;15.708
0.403067;0.596933;51;16.0221
0.412227;0.587773;52;16.3363
0.421388;0.578612;54;16.9646
0.430548;0.569452;55;17.2788
0.439709;0.560291;56;17.5929
0.44887;0.55113;57;17.9071
0.45803;0.54197;58;18.2212
0.467191;0.532809;59;18.5354
0.476351;0.523649;61;19.1637
0.485512;0.514488;62;19.4779
0.494673;0.505327;63;19.792
0.503833;0.496167;64;20.1062
0.512994;0.487006;65;20.4204
0.522154;0.477846;66;20.7345
0.531315;0.468685;68;21.3628
0.540476;0.459524;69;21.677
0.549636;0.450364;70;21.9911
0.558797;0.441203;71;22.3053
0.567957;0.432043;72;22.6195
0.577118;0.422882;73;22.9336
0.586279;0.413721;75;23.5619
0.595439;0.404561;76;23.8761
0.6046;0.3954;77;24.1903
0.61376;0.38624;78;24.5044
0.622921;0.377079;79;24.8186
0.632082;0.367918;80;25.1327
0.641242;0.358758;82;25.7611
0.650403;0.349597;83;26.0752
0.659563;0.340437;84;26.3894
0.668724;0.331276;85;26.7035
0.677885;0.322115;86;27.0177
0.687045;0.312955;87;27.3319
0.696206;0.303794;89;27.9602
0.705366;0.294634;90;28.2743
0.714527;0.285473;91;28.5885
0.723688;0.276312;92;28.9027
0.732848;0.267152;93;29.2168
0.742009;0.257991;94;29.531
0.751169;0.248831;96;30.1593
0.76033;0.23967;97;30.4734
0.769491;0.230509;98;30.7876
0.778651;0.221349;99;31.1018
0.787812;0.212188;100;31.4159
0.796972;0.203028;101;31.7301
0.806133;0.193867;103;32.3584
0.815294;0.184706;104;32.6726
0.824454;0.175546;105;32.9867
0.833615;0.166385;106;33.3009
0.842775;0.157225;107;33.615
0.851936;0.148064;108;33.9292
0.861097;0.138903;110;34.5575
0.870257;0.129743;111;34.8717
0.879418;0.120582;112;35.1858
0.888578;0.111422;113;35.5
0.897739;0.102261;114;35.8142
0.9069;0.0931003;115;36.1283
